Year;Song 1;Song 2;Song 3
2015;"Uptown Funk - Mark Ronson featuring Bruno Mars";"Thinking Out Loud - Ed Sheeran";"See You Again - Wiz Khalifa featuring Charlie Puth"
2016;"Love Yourself - Justin Bieber";"Sorry - Justin Bieber";"One Dance - Drake featuring Wizkid and Kyla"
2017;"Shape of You - Ed Sheeran";"Despacito (Remix) - Luis Fonsi and Daddy Yankee featuring Justin Bieber";"That's What I Like - Bruno Mars"
2018;"God's Plan - Drake";"Perfect - Ed Sheeran";"Meant to Be - Bebe Rexha featuring Florida Georgia Line"
2019;"Old Town Road - Lil Nas X featuring Billy Ray Cyrus";"Sunflower - Post Malone and Swae Lee";"Without Me - Halsey"
2020;"Blinding Lights - The Weeknd";"Circles - Post Malone";"The Box - Roddy Ricch"
2021;"Levitating - Dua Lipa";"Save Your Tears - The Weeknd and Ariana Grande";"Blinding Lights - The Weeknd"
2022;"Heat Waves - Glass Animals";"As It Was - Harry Styles";"Stay - The Kid Laroi and Justin Bieber"
2023;"Last Night - Morgan Wallen";"Flowers - Miley Cyrus";"Kill Bill - SZA"
2024;"A Bar Song (Tipsy) - Shaboozey";"Not Like Us - Kendrick Lamar";"Please Please Please - Sabrina Carpenter"
